# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.900979671590365641e-03 -1.980189742855093665e-02 -4.950365411808821392e-02 -9.899944032117159731e-02 -1.979331168370839777e-01 -4.932402604964891690e-01
6.220975551662956404e-02 -9.820269546414251913e-03 -1.964045616323507187e-02 -4.909968179049607750e-02 -9.818883640278304459e-02 -1.962899083764972907e-01 -4.886415018447963221e-01
1.244195110332591281e-01 -9.701566788990664478e-03 -1.940303039184986325e-02 -4.850576180133270299e-02 -9.699843590411114103e-02 -1.938879491588494652e-01 -4.821696561249047552e-01
1.866292665498887060e-01 -9.545330661869542987e-03 -1.909053885404120993e-02 -4.772419481859380141e-02 -9.543286776307985386e-02 -1.907367285752868125e-01 -4.738540315434338068e-01
2.488390220665182562e-01 -9.352165632669147063e-03 -1.870419067691942577e-02 -4.675800704910492572e-02 -9.349820884393753029e-02 -1.868486038197443577e-01 -4.637300681161997673e-01
3.110487775831478063e-01 -9.122819034758786888e-03 -1.824548069169289188e-02 -4.561093844463923880e-02 -9.120195973106866305e-02 -1.822387462521674606e-01 -4.518390964644576901e-01
3.732585330997774120e-01 -8.858178175449418421e-03 -1.771618364611112287e-02 -4.428742816478242750e-02 -8.855301516434360698e-02 -1.769250782872041072e-01 -4.382281388527313748e-01
4.354682886164069622e-01 -8.559266902894425294e-03 -1.711834733525790034e-02 -4.279259735510532181e-02 -8.556162924923738089e-02 -1.709282011984366023e-01 -4.229497482245856421e-01
4.976780441330365123e-01 -8.227241644988959532e-03 -1.645428467737736905e-02 -4.113222930896220930e-02 -8.223937558924100666e-02 -1.642713141965670420e-01 -4.060618769088223390e-01
5.598877996496660625e-01 -7.863386935581159407e-03 -1.572656476544588566e-02 -3.931274709044883797e-02 -7.859910250126130038e-02 -1.569801251063749070e-01 -3.876277643577985543e-01
